Uniprote_IDs,uT01,uT02,uT03,uT04,uT05,uT06,uT07,uT08,uT09,uT10,FA01,FA02,FA03,FA04,FA05,FA06,FA07,FA08,FA09,FA10
P13489,391.8833313,359.5741882,369.8476257,382.9473572,389.4332581,373.6585999,368.2756348,337.2775269,342.0412598,264.6325989,402.0047302,349.4848938,384.0683899,378.0417175,333.1318665,378.7919617,322.3673706,318.6604004,294.2951355,329.1525269
P13639,11051.82422,11254.38086,11276.13965,11439.43457,11920.91699,11482.4375,12320.04102,12287.10254,13098.46387,14045.49902,11489.96387,11790.0791,11067.65039,11053.1377,11435.46094,12853.10938,11973.25293,12263.94629,12710.05957,13112.06738
P13645,56.36236191,107.8906631,81.63032532,66.7515564,73.31868744,32.06655502,65.51689911,60.83649826,12.74086189,78.69293213,30.29769325,37.08236694,Filtered,8.986279488,91.72531128,102.0497055,72.64347839,33.54557419,Filtered,80.46576691
P13667,565.4783936,557.682312,540.161499,560.0388794,579.3530273,538.4784546,520.1655884,523.4942627,596.0269165,531.1850586,583.4769287,576.9041748,545.6057739,540.7096558,562.7277222,625.6685181,548.8652344,531.0986328,567.9666748,546.8805542
P13674,160.7735596,176.1803589,168.4617157,189.1452942,172.0265198,182.5565948,178.4024353,145.065033,199.0691528,161.4404907,160.1152344,173.7285767,175.9220428,162.2764282,157.1964722,192.6972656,169.7499847,184.9829254,167.9546204,164.0899048
P13693,664.2501221,711.3565674,605.9378052,670.0324707,629.8294678,644.3999634,658.265625,535.0110474,539.5854492,533.4000244,740.8953857,666.2896118,620.7276611,579.0148926,619.9675903,582.4874878,575.833374,463.1696167,590.8132324,531.258606
P13716,24.30584908,Filtered,Filtered,149.1141968,26.83447266,194.4454956,23.14808083,395.364624,204.8865356,23.76521111,146.2014313,Filtered,130.595108,29.17297363,Filtered,191.0080719,30.41517258,478.1351624,Filtered,264.4520264
P13797,1583.868042,1417.120728,1528.615723,1785.627808,1657.928833,1703.300415,1711.026123,1753.389404,1956.416138,1855.257568,1738.084839,1625.86377,1734.587891,1738.056274,1796.365967,1670.273926,1588.196777,1752.111938,1816.657104,1829.458008
P13798,272.737793,281.3649902,271.2449646,295.4284973,289.8144836,279.4314575,258.4528503,293.168335,282.9432983,309.4738159,260.2775879,274.0350647,282.1978149,291.2318115,277.8060913,281.8040161,278.2002258,291.0675964,294.6129761,263.4395752
P13804,807.5880127,777.8705444,796.4017944,813.6352539,782.1455688,779.6165161,754.6166382,861.1095581,791.5917969,961.3039551,837.5796509,756.4854126,746.9758911,845.6630859,850.6482544,819.84729,996.1333618,923.7880249,1020.312073,926.4266357
P13807,82.47902679,91.8012085,99.67445374,95.35388947,105.7135925,104.9673233,103.7110748,121.49263,121.6667862,121.0114365,89.56433868,91.48101807,101.641037,101.9763184,91.64486694,89.4617691,104.595787,123.4145584,107.5197067,107.0736389
P13861,205.5653076,197.5628357,202.946106,218.1337891,182.5111847,213.8441162,171.0261078,167.9451294,183.7195129,166.2833557,195.7723541,195.4539795,189.0758514,188.2623596,185.5978851,193.1280975,174.9501343,182.7469788,156.0011749,165.9864197
P13929,4757.411133,5652.632813,2770.238525,4622.626465,4951.345703,5329.298828,5430.613281,2867.77124,5679.793945,5808.004395,4872.431641,4849.091309,4821.491211,2999.05835,2558.712891,2637.558594,2376.659912,5951.929199,4865.870605,5327.847168
P13984,108.2224884,104.6808167,103.9132919,112.4598541,116.1990967,108.7553787,103.6860352,106.9089279,97.20426941,112.7318115,102.0353394,102.7131805,96.90737152,116.3709488,102.7735138,101.023056,92.62673187,105.0824432,104.6898499,100.818924
P13987,230.7420807,222.3843231,229.4217682,233.7796936,217.5417328,232.4817963,223.6713715,170.9947968,163.5495911,132.0687561,278.5714111,265.23703,247.358139,219.7590485,240.0818939,236.0404968,181.5703735,151.8149414,152.2401733,167.0323639
P13995,262.3782349,265.565033,241.4991608,268.7809448,237.8869629,267.7650757,255.1911621,255.256485,262.7218323,248.8896942,252.107132,249.0317078,253.0063477,264.4104614,243.747818,241.7032166,242.0331116,239.9213715,232.3795624,240.6728058
P14151,Filtered,Filtered,42.37908173,Filtered,46.23070908,Filtered,Filtered,49.43925095,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,6.268847942,43.3790741,40.54743195,Filtered,Filtered
P14174,11848.63867,11024.44434,11308.37109,11413.45117,12030.64648,11766.65234,11824.09863,14298.31445,12450.85547,13479.79297,11776.70508,12203.99512,11641.65527,12678.64941,13357.0127,12633.04297,13774.87891,13915.98926,14355.05566,13049.64648
P14209,44.43383408,20.36862183,69.73657227,56.31199646,53.8939476,37.0059166,Filtered,17.6492691,22.59977531,7.580625534,32.50598526,27.54164505,55.99412537,27.75259209,57.6989975,37.15648651,26.68186188,16.40395355,Filtered,26.93362999
P14314,558.046814,610.9171143,501.5809937,530.1392212,586.4257813,560.5443115,544.0039673,570.7856445,529.1778564,517.4885254,569.3605957,606.0904541,541.7606201,534.0675659,553.9206543,579.0140381,543.105835,558.3584595,556.8170166,651.6112061
P14324,545.0628662,622.7557373,581.5015869,647.961792,581.9799805,601.557251,557.7819214,540.8289185,574.6151123,479.3035278,593.6744385,606.5335083,663.3850098,578.9041748,589.272644,646.2774658,565.5444336,535.8052979,538.1255493,573.3659058
P14373,32.25041962,55.35799026,63.26089859,52.93330383,75.79082489,75.10394287,33.93592072,132.5002747,69.87277985,177.5608063,45.72494507,64.27636719,60.72085953,32.46520615,71.60029602,74.80325317,53.19487762,99.64181519,Filtered,51.12256622
